,hotel_id_in_our_database,hotel_name,hotel_location,hotel_star,hotel_location_rating,hotel_nearby_place_distance,hotel_popular_place_distance,district
245,10073,Avani+ Riverside Bangkok Hotel,"257 Charoennakorn Road, Thonburi, Bangkok Riverside, Bangkok, Thailand, 10600",5.0,8.0,Rama III Bridge && 410 m ; Wat Chanyawat && 1.08 km ; Watermark Chao Phraya && 1.22 km ; Asiatique - The Riverfront && 1.32 km ; Wat Rajsingkorn Pier && 1.36 km ; Wat Worachanyawas Pier && 1.72 km ; Wat Sawetachat Pier && 1.92 km ; Shrewsbury International School && 2.03 km ; Wat Intharam Worawiharn && 2.15 km ; Yaowarat Road && 4.42 km,Asiatique - The Riverfront && 1.32 km ; Yaowarat Road && 4.42 km ; Wat Pho Temple && 4.61 km ; Wat Phra Kaew && 5 km ; Grand Palace && 5.06 km ; Jim Thompson && 5.36 km ; Wat Saket && 5.69 km ; Khao San Road && 6 km ; Central World && 6.9 km ; Terminal 21 Shopping Mall && 8.3 km,Bangkok Riverside
246,10074,Hotel Muse Bangkok,"55/555 Soi Langsuan, Lumpini, Pathumwan, Wireless, Bangkok, Thailand, 10330",5.0,8.7,100 Tonson Gallery && 200 m ; Royal Maneeya Tower && 310 m ; Toojah && 330 m ; Peninsula Tailors Bangkok && 360 m ; Peninsula Plaza && 380 m ; Mater Dei School && 380 m ; RJ Uomo && 460 m ; Absolute Yoga && 480 m ; Central Plaza Chidlom && 480 m ; Amarin Plaza && 500 m,Central World && 770 m ; Jim Thompson && 1.53 km ; Terminal 21 Shopping Mall && 1.87 km ; Yaowarat Road && 3.64 km ; Wat Saket && 4.25 km ; Khao San Road && 5.32 km ; Wat Pho Temple && 5.51 km ; Wat Phra Kaew && 5.66 km ; Grand Palace && 5.71 km ; Asiatique - The Riverfront && 5.91 km,Wireless
247,10075,Emporium Suites by Chatrium,"622 Sukhumvit Soi 24, Sukhumvit, Bangkok, Thailand, 10110",5.0,9.3,Emporium Shopping Complex && 50 m ; Thailand Creative & Design Center && 60 m ; 24th Avenue && 80 m ; EmQuartier && 160 m ; Benjasiri Park && 180 m ; World Fellowship of Buddhists && 210 m ; Fatima Shop && 260 m ; Fiorenzo Tailor && 320 m ; Terminal 21 Shopping Mall && 1.24 km ; Central World && 3.66 km,Terminal 21 Shopping Mall && 1.24 km ; Central World && 3.66 km ; Jim Thompson && 3.82 km ; Yaowarat Road && 6.5 km ; Wat Saket && 7.23 km ; Asiatique - The Riverfront && 7.63 km ; Khao San Road && 8.3 km ; Wat Pho Temple && 8.42 km ; Wat Phra Kaew && 8.6 km ; Grand Palace && 8.66 km,Sukhumvit
248,10076,Le Méridien Bangkok,"40/5 Surawong Road, Bangrak, Silom, Bangkok, Thailand, 10500",5.0,9.0,Savile Row Fashion && 50 m ; Pat Pong Nightlife && 190 m ; Excelsior Custom Tailors && 280 m ; Jim Thompson - Surawong && 330 m ; Jim Thompson && 330 m ; Wat Hua Lumphong && 360 m ; Queen Saovabha Memorial Institute && 390 m ; Soi Lalaisap && 390 m ; Silom Complex && 500 m ; Silom Business Area && 500 m,Jim Thompson && 330 m ; Central World && 2.03 km ; Yaowarat Road && 2.55 km ; Terminal 21 Shopping Mall && 3.35 km ; Wat Saket && 3.72 km ; Asiatique - The Riverfront && 4.09 km ; Wat Pho Temple && 4.48 km ; Wat Phra Kaew && 4.73 km ; Khao San Road && 4.77 km ; Grand Palace && 4.79 km,Silom
249,10077,Anantara Baan Rajprasong Bangkok Serviced Suites,"3 Soi Mahardlekluang 3, Rajdamri Road, Lumpini, Pathumwan, Siam, Bangkok, Thailand, 10330",5.0,8.8,Toojah && 80 m ; 100 Tonson Gallery && 320 m ; Peninsula Tailors Bangkok && 360 m ; Peninsula Plaza && 370 m ; Fallabella && 400 m ; Royal Bangkok Sports Club && 410 m ; Royal Maneeya Tower && 440 m ; Lumpini Park Food Stalls && 570 m ; RJ Uomo && 570 m ; Mater Dei School && 570 m,Central World && 820 m ; Jim Thompson && 1.25 km ; Terminal 21 Shopping Mall && 2.07 km ; Yaowarat Road && 3.42 km ; Wat Saket && 4.1 km ; Khao San Road && 5.18 km ; Wat Pho Temple && 5.31 km ; Wat Phra Kaew && 5.47 km ; Grand Palace && 5.53 km ; Asiatique - The Riverfront && 5.63 km,Siam
250,10078,Anantara Riverside Bangkok Resort,"257 Charoennakorn Road, Samrae Thonburi, Bangkok Riverside, Bangkok, Thailand,                     ",5.0,8.1,Rama III Bridge && 350 m ; Wat Chanyawat && 960 m ; Watermark Chao Phraya && 1.16 km ; Asiatique - The Riverfront && 1.21 km ; Wat Rajsingkorn Pier && 1.27 km ; Wat Worachanyawas Pier && 1.64 km ; Wat Sawetachat Pier && 1.86 km ; Shrewsbury International School && 1.95 km ; Bob Botique && 2.23 km ; Yaowarat Road && 4.44 km,Asiatique - The Riverfront && 1.21 km ; Yaowarat Road && 4.44 km ; Wat Pho Temple && 4.68 km ; Wat Phra Kaew && 5.07 km ; Grand Palace && 5.13 km ; Jim Thompson && 5.31 km ; Wat Saket && 5.72 km ; Khao San Road && 6.06 km ; Central World && 6.86 km ; Terminal 21 Shopping Mall && 8.24 km,Bangkok Riverside
251,10079,Sivatel Bangkok Hotel,"53 Wittayu Rd, Lumpini, Pratuwan, Wireless, Bangkok, Thailand, 10330",5.0,8.8,Central Embassy && 140 m ; Zantino Tailor && 270 m ; Blanc Bespoke Tailors && 290 m ; Shrine of the Goddess Tubtim && 310 m ; All Seasons Place && 390 m ; Witthayu Pier && 400 m ; Central Plaza Chidlom && 400 m ; AAA Thai Language Center && 420 m ; Yoga Elements Studio && 440 m ; Nana && 550 m,Central World && 960 m ; Terminal 21 Shopping Mall && 1.55 km ; Jim Thompson && 2.24 km ; Yaowarat Road && 4.17 km ; Wat Saket && 4.59 km ; Khao San Road && 5.64 km ; Wat Pho Temple && 5.98 km ; Wat Phra Kaew && 6.09 km ; Grand Palace && 6.14 km ; Asiatique - The Riverfront && 6.61 km,Wireless
252,10080,Hansar Bangkok Hotel,"3 Soi Mahadlekluang 2, Rajdamri Road, Lumpini, Pathumwan, Siam, Bangkok, Thailand, 10330",5.0,8.9,Toojah && 160 m ; Peninsula Tailors Bangkok && 170 m ; Peninsula Plaza && 180 m ; Royal Maneeya Tower && 280 m ; Royal Bangkok Sports Club && 380 m ; RJ Uomo && 400 m ; 100 Tonson Gallery && 420 m ; Absolute Yoga && 420 m ; Ratchaprasong Intersection Shrines && 430 m ; Mater Dei School && 430 m,Central World && 640 m ; Jim Thompson && 1.36 km ; Terminal 21 Shopping Mall && 2.14 km ; Yaowarat Road && 3.37 km ; Wat Saket && 3.98 km ; Khao San Road && 5.06 km ; Wat Pho Temple && 5.24 km ; Wat Phra Kaew && 5.38 km ; Grand Palace && 5.44 km ; Asiatique - The Riverfront && 5.72 km,Siam
253,10081,137 Pillars Residences Bangkok,"59/1 Soi Sukhumvit 39, Khlong Tan Nuea, Watthana, Bangkok Thailand, Sukhumvit, Bangkok, Thailand, 10110",5.0,7.5,The American School of Bangkok Sukhumvit Campus && 460 m ; Asia Herb Association - Sawatdee shop && 520 m ; Sombat Permpoon Gallery && 560 m ; Laan Gao && 580 m ; Milan Suit && 690 m ; Subhashok The Arts Centre (S.A.C.) && 740 m ; EmQuartier && 750 m ; Fatima Shop && 770 m ; Fiorenzo Tailor && 800 m ; Terminal 21 Shopping Mall && 1.23 km,Terminal 21 Shopping Mall && 1.23 km ; Central World && 3.63 km ; Jim Thompson && 4.22 km ; Yaowarat Road && 6.72 km ; Wat Saket && 7.27 km ; Asiatique - The Riverfront && 8.28 km ; Khao San Road && 8.32 km ; Wat Pho Temple && 8.6 km ; Wat Phra Kaew && 8.73 km ; Grand Palace && 8.79 km,Sukhumvit
254,10082,Bangkok Marriott Hotel The Surawongse,"262 Surawong Road, Si Phraya, Silom, Bangkok, Thailand, 10500",5.0,7.6,Neilson Hays Library && 40 m ; Smile Tailors && 290 m ; Universal Tailors && 300 m ; Max Custom Tailor && 320 m ; Monte Collection && 320 m ; Giri's Custom Tailor && 330 m ; Nile Jewels && 350 m ; Maha Uma Devi Temple && 350 m ; Sri Mariamman Temple && 360 m ; ARENA'S FASHION && 360 m,Jim Thompson && 1.23 km ; Yaowarat Road && 2.01 km ; Central World && 2.74 km ; Asiatique - The Riverfront && 3.32 km ; Wat Saket && 3.41 km ; Wat Pho Temple && 3.85 km ; Wat Phra Kaew && 4.14 km ; Grand Palace && 4.21 km ; Terminal 21 Shopping Mall && 4.25 km ; Khao San Road && 4.37 km,Silom
255,10083,Oriental Residence Bangkok,"110 Wireless Road, Lumpini
Patumwan, Wireless, Bangkok, Thailand, 10330",5.0,8.3,100 Tonson Gallery && 200 m ; ANS International Custom Tailors && 280 m ; Masjid Indonesia && 350 m ; All Seasons Place && 400 m ; Venus Jewelry && 520 m ; Toojah && 590 m ; Zantino Tailor && 650 m ; Central Embassy && 650 m ; Royal Maneeya Tower && 670 m ; Central World && 1.13 km,Central World && 1.13 km ; Terminal 21 Shopping Mall && 1.56 km ; Jim Thompson && 1.6 km ; Yaowarat Road && 3.93 km ; Wat Saket && 4.6 km ; Khao San Road && 5.68 km ; Wat Pho Temple && 5.82 km ; Asiatique - The Riverfront && 5.96 km ; Wat Phra Kaew && 5.98 km ; Grand Palace && 6.04 km,Wireless
256,10084,"Mayfair, Bangkok - Marriott Executive Apartments","60 Soi Langsuan, Lumpini, Pathumwan, Wireless, Bangkok, Thailand, 10330",5.0,8.2,100 Tonson Gallery && 190 m ; Toojah && 220 m ; Peninsula Tailors Bangkok && 370 m ; Royal Maneeya Tower && 390 m ; Peninsula Plaza && 390 m ; Mater Dei School && 500 m ; RJ Uomo && 540 m ; Fallabella && 540 m ; Royal Bangkok Sports Club && 550 m ; Absolute Yoga && 560 m,Central World && 830 m ; Jim Thompson && 1.39 km ; Terminal 21 Shopping Mall && 1.93 km ; Yaowarat Road && 3.56 km ; Wat Saket && 4.21 km ; Khao San Road && 5.3 km ; Wat Pho Temple && 5.45 km ; Wat Phra Kaew && 5.6 km ; Grand Palace && 5.66 km ; Asiatique - The Riverfront && 5.77 km,Wireless
257,10085,"Shangri-La Hotel, Bangkok","89 Soi Wat Suan Plu, New Road, Bangrak, Bangkok Riverside, Bangkok, Thailand, 10500",5.0,9.0,Robinson Bangrak Shopping Mall && 130 m ; Sathorn Central Pier && 130 m ; Thaksin Pier && 160 m ; Chinese Temple Jael Aeung Beal && 180 m ; Suan Plu Temple && 190 m ; Oriental Hotel Pier && 230 m ; Assumption Cathedral && 250 m ; Assumption Convent School && 260 m ; Assumptionsuksa School && 260 m ; World Group && 270 m,Asiatique - The Riverfront && 2.2 km ; Yaowarat Road && 2.23 km ; Jim Thompson && 2.36 km ; Wat Pho Temple && 3.65 km ; Wat Saket && 3.76 km ; Central World && 3.9 km ; Wat Phra Kaew && 4.01 km ; Grand Palace && 4.09 km ; Khao San Road && 4.54 km ; Terminal 21 Shopping Mall && 5.35 km,Bangkok Riverside
258,10086,Tower Club at Lebua Hotel,"1055/42 Silom Rd. Bangrak, Bangkok Riverside, Bangkok, Thailand",5.0,8.4,State Tower && 50 m ; Naraya Patpong && 60 m ; Sirocco Sky Bar && 80 m ; Thai Native Gems && 110 m ; Assumptionsuksa School && 130 m ; Suan Plu Temple && 160 m ; A. Moda Tailor && 230 m ; Assumption College && 260 m ; Robinson Bangrak Shopping Mall && 310 m ; Assumption Convent School && 320 m,Jim Thompson && 2.09 km ; Yaowarat Road && 2.29 km ; Asiatique - The Riverfront && 2.39 km ; Central World && 3.68 km ; Wat Saket && 3.8 km ; Wat Pho Temple && 3.83 km ; Wat Phra Kaew && 4.17 km ; Grand Palace && 4.25 km ; Khao San Road && 4.64 km ; Terminal 21 Shopping Mall && 5.06 km,Bangkok Riverside
259,10087,Sofitel Bangkok Sukhumvit Hotel,"189 Sukhumvit Road Soi 13-15 , Klongtoey Wattana, Sukhumvit, Bangkok, Thailand, 10110",5.0,9.2,St. Marco Tailor && 60 m ; Liu's Bootery && 70 m ; Atelier Azzurro && 80 m ; Narry Tailors && 150 m ; Marty's New Fashion && 150 m ; Crown Tailor && 180 m ; Louis Collections && 180 m ; Siam Emporium Bespoke Tailor (Nana) && 190 m ; Tom's Fashion && 190 m ; Terminal 21 Shopping Mall && 350 m,Terminal 21 Shopping Mall && 350 m ; Central World && 2.13 km ; Jim Thompson && 2.81 km ; Yaowarat Road && 5.2 km ; Wat Saket && 5.76 km ; Khao San Road && 6.82 km ; Asiatique - The Riverfront && 7.07 km ; Wat Pho Temple && 7.07 km ; Wat Phra Kaew && 7.21 km ; Grand Palace && 7.26 km,Sukhumvit
260,10088,Anantara Siam Bangkok Hotel,"155 Rajadamri Road, Siam, Bangkok, Thailand, 10330",5.0,9.2,Peninsula Tailors Bangkok && 120 m ; Peninsula Plaza && 120 m ; Toojah && 230 m ; Royal Maneeya Tower && 280 m ; Royal Bangkok Sports Club && 320 m ; RJ Uomo && 360 m ; Ratchaprasong Intersection Shrines && 370 m ; Erawan Shrine && 380 m ; Absolute Yoga && 390 m ; Amarin Plaza && 410 m,Central World && 550 m ; Jim Thompson && 1.37 km ; Terminal 21 Shopping Mall && 2.24 km ; Yaowarat Road && 3.27 km ; Wat Saket && 3.87 km ; Khao San Road && 4.95 km ; Wat Pho Temple && 5.13 km ; Wat Phra Kaew && 5.28 km ; Grand Palace && 5.33 km ; Asiatique - The Riverfront && 5.7 km,Siam
261,10089,SO SOFITEL BANGKOK,"2 North Sathorn Road, Sathorn, Bangkok, Thailand",5.0,8.3,Bangkok CityCity Gallery && 200 m ; Boxing Stadium && 320 m ; Goethe Institut && 380 m ; Lumphini Park && 580 m ; Surapon Gallery && 580 m ; King Rama 6 Monument && 740 m ; St Andrews International School Sathorn Campus && 790 m ; July Tailor && 810 m ; Red Bull X Park && 900 m ; Silom Complex && 930 m,Jim Thompson && 1.14 km ; Central World && 2.23 km ; Terminal 21 Shopping Mall && 2.25 km ; Yaowarat Road && 3.95 km ; Asiatique - The Riverfront && 4.95 km ; Wat Saket && 5 km ; Wat Pho Temple && 5.89 km ; Khao San Road && 6.07 km ; Wat Phra Kaew && 6.12 km ; Grand Palace && 6.19 km,Sathorn
262,10090,Grand Hyatt Erawan Bangkok Hotel,"494 Rajdamri Road, Lumpini, Patumwan, Siam, Bangkok, Thailand, 10330",5.0,9.3,Ratchaprasong Intersection Shrines && 80 m ; Erawan Shrine && 90 m ; RJ Uomo && 110 m ; Absolute Yoga && 130 m ; Amarin Plaza && 140 m ; Peninsula Plaza && 180 m ; Gaysorn Shopping Center && 180 m ; Peninsula Tailors Bangkok && 190 m ; Royal Maneeya Tower && 190 m ; ZEN Department Store && 220 m,Central World && 290 m ; Jim Thompson && 1.64 km ; Terminal 21 Shopping Mall && 2.26 km ; Yaowarat Road && 3.34 km ; Wat Saket && 3.82 km ; Khao San Road && 4.89 km ; Wat Pho Temple && 5.16 km ; Wat Phra Kaew && 5.28 km ; Grand Palace && 5.33 km ; Asiatique - The Riverfront && 5.95 km,Siam
263,10091,Renaissance Bangkok Ratchaprasong Hotel,"518/8 Ploenchit Road, Siam, Bangkok, Thailand, 10330",5.0,9.2,Royal Maneeya Tower && 10 m ; RJ Uomo && 150 m ; Mater Dei School && 150 m ; Absolute Yoga && 170 m ; Peninsula Tailors Bangkok && 180 m ; Amarin Plaza && 190 m ; Peninsula Plaza && 190 m ; Ratchaprasong Intersection Shrines && 230 m ; Erawan Shrine && 260 m ; Gaysorn Shopping Center && 270 m,Central World && 460 m ; Jim Thompson && 1.64 km ; Terminal 21 Shopping Mall && 2.07 km ; Yaowarat Road && 3.5 km ; Wat Saket && 4.01 km ; Khao San Road && 5.08 km ; Wat Pho Temple && 5.33 km ; Wat Phra Kaew && 5.46 km ; Grand Palace && 5.51 km ; Asiatique - The Riverfront && 5.99 km,Siam
264,10092,The Sukhothai Bangkok,"13/3 South Sathorn Road, Sathorn, Bangkok, Thailand, 10120",5.0,8.2,Surapon Gallery && 310 m ; Bangkok CityCity Gallery && 400 m ; Goethe Institut && 550 m ; Red Bull X Park && 560 m ; St Andrews International School Sathorn Campus && 560 m ; Boxing Stadium && 690 m ; Ruen-Nuad Massage & Yoga && 710 m ; July Tailor && 720 m ; Saint Joseph Convent School && 760 m ; Wat Kuhasawan && 760 m,Jim Thompson && 1.1 km ; Central World && 2.51 km ; Terminal 21 Shopping Mall && 2.65 km ; Yaowarat Road && 3.85 km ; Asiatique - The Riverfront && 4.56 km ; Wat Saket && 5 km ; Wat Pho Temple && 5.78 km ; Wat Phra Kaew && 6.03 km ; Khao San Road && 6.06 km ; Grand Palace && 6.1 km,Sathorn
265,10093,COMO Metropolitan Bangkok,"27 South Sathorn Road, Tungmahamek, Sathorn, Bangkok, Thailand,                     ",5.0,8.0,Surapon Gallery && 190 m ; Red Bull X Park && 420 m ; St Andrews International School Sathorn Campus && 430 m ; Bangkok CityCity Gallery && 530 m ; Ruen-Nuad Massage & Yoga && 570 m ; July Tailor && 620 m ; Wat Kuhasawan && 620 m ; Saint Joseph Convent School && 630 m ; Goethe Institut && 680 m ; M.R. Kukrit's Heritage Home && 710 m,Jim Thompson && 1.01 km ; Central World && 2.5 km ; Terminal 21 Shopping Mall && 2.76 km ; Yaowarat Road && 3.73 km ; Asiatique - The Riverfront && 4.44 km ; Wat Saket && 4.89 km ; Wat Pho Temple && 5.65 km ; Wat Phra Kaew && 5.91 km ; Khao San Road && 5.95 km ; Grand Palace && 5.98 km,Sathorn
266,10094,JW Marriott Hotel Bangkok,"4 Sukhumvit Soi 2, Sukhumvit, Bangkok, Thailand, 10110",5.0,9.0,Nana Square && 90 m ; Gulati Bespoke Tailoring && 90 m ; New Landmark Boutique && 90 m ; Nana && 90 m ; Majestic Tailors && 100 m ; Rajawongse Clothier && 110 m ; Boss Sukhumvit Tailor && 130 m ; Paul Bespoke && 230 m ; Baron's Fashions && 250 m ; Terminal 21 Shopping Mall && 1.02 km,Terminal 21 Shopping Mall && 1.02 km ; Central World && 1.46 km ; Jim Thompson && 2.39 km ; Yaowarat Road && 4.59 km ; Wat Saket && 5.09 km ; Khao San Road && 6.15 km ; Wat Pho Temple && 6.43 km ; Wat Phra Kaew && 6.56 km ; Grand Palace && 6.61 km ; Asiatique - The Riverfront && 6.75 km,Sukhumvit
267,10095,Banyan Tree Bangkok,"21/100 South Sathon Road, Sathorn, Bangkok, Thailand, 10120",5.0,7.8,Surapon Gallery && 280 m ; Bangkok CityCity Gallery && 480 m ; Red Bull X Park && 490 m ; St Andrews International School Sathorn Campus && 520 m ; Goethe Institut && 610 m ; Ruen-Nuad Massage & Yoga && 660 m ; Wat Kuhasawan && 700 m ; July Tailor && 700 m ; Saint Joseph Convent School && 710 m ; M.R. Kukrit's Heritage Home && 760 m,Jim Thompson && 1.09 km ; Central World && 2.54 km ; Terminal 21 Shopping Mall && 2.73 km ; Yaowarat Road && 3.82 km ; Asiatique - The Riverfront && 4.49 km ; Wat Saket && 4.98 km ; Wat Pho Temple && 5.74 km ; Wat Phra Kaew && 6 km ; Khao San Road && 6.04 km ; Grand Palace && 6.06 km,Sathorn
268,10099,Evergreen Laurel Hotel,"88 North Sathorn Road (soi Pipat), Sathorn, Bangkok, Thailand, 10500",5.0,8.0,Wat Kuhasawan && 40 m ; Ruen-Nuad Massage & Yoga && 180 m ; Red Bull X Park && 200 m ; Saint Joseph Convent School && 290 m ; St Andrews International School Sathorn Campus && 310 m ; M.R. Kukrit's Heritage Home && 350 m ; M R Kukrit Pramoj House && 400 m ; Soi Lalaisap && 400 m ; Surapon Gallery && 480 m ; Silom Business Area && 530 m,Jim Thompson && 780 m ; Central World && 2.57 km ; Yaowarat Road && 3.22 km ; Terminal 21 Shopping Mall && 3.28 km ; Asiatique - The Riverfront && 3.92 km ; Wat Saket && 4.48 km ; Wat Pho Temple && 5.11 km ; Wat Phra Kaew && 5.39 km ; Grand Palace && 5.46 km ; Khao San Road && 5.51 km,Sathorn
269,10101,Bangkok Marriott Hotel Sukhumvit,"2 Sukhumvit Soi 57, Klongtan Nua, Sukhumvit, Bangkok, Thailand, 10110",5.0,8.6,Broadways Exclusive && 50 m ; Wat Maha But Temple - Mae Nak Shrine && 90 m ; Lords Tailor Bangkok && 110 m ; Black Amber Social Club && 270 m ; Asia Herb Association && 320 m ; Maze Thonglor && 580 m ; Terminal 21 Shopping Mall && 2.68 km ; Central World && 5.11 km ; Jim Thompson && 5.13 km ; Yaowarat Road && 7.88 km,Terminal 21 Shopping Mall && 2.68 km ; Central World && 5.11 km ; Jim Thompson && 5.13 km ; Yaowarat Road && 7.88 km ; Asiatique - The Riverfront && 8.58 km ; Wat Saket && 8.66 km ; Khao San Road && 9.74 km ; Wat Pho Temple && 9.81 km ; Wat Phra Kaew && 10 km ; Grand Palace && 10.06 km,Sukhumvit
270,10102,Conrad Bangkok,"87 Wireless Road, Phatumwan, Wireless, Bangkok, Thailand, 10330",5.0,8.2,ANS International Custom Tailors && 90 m ; Masjid Indonesia && 120 m ; All Seasons Place && 290 m ; 100 Tonson Gallery && 410 m ; Zantino Tailor && 490 m ; Venus Jewelry && 520 m ; Nana Fashions && 590 m ; Central Embassy && 600 m ; Central World && 1.25 km ; Terminal 21 Shopping Mall && 1.34 km,Central World && 1.25 km ; Terminal 21 Shopping Mall && 1.34 km ; Jim Thompson && 1.82 km ; Yaowarat Road && 4.15 km ; Wat Saket && 4.78 km ; Khao San Road && 5.86 km ; Wat Pho Temple && 6.03 km ; Asiatique - The Riverfront && 6.17 km ; Wat Phra Kaew && 6.19 km ; Grand Palace && 6.24 km,Wireless
271,10103,"Sheraton Grande Sukhumvit, a Luxury Collection Hotel, Bangkok","250 Sukhumvit Road, Sukhumvit, Bangkok, Thailand",5.0,9.5,Times Sqare && 20 m ; MOONRIVER by VJ && 60 m ; Muangboran (Ancient City) && 70 m ; Bangkok Bazaar && 80 m ; Tanika Tailor && 80 m ; Robinson Sukhumvit && 100 m ; Terminal 21 Shopping Mall && 140 m ; Jesse and Son Custom Tailors && 140 m ; Central World && 2.33 km ; Jim Thompson && 2.89 km,Terminal 21 Shopping Mall && 140 m ; Central World && 2.33 km ; Jim Thompson && 2.89 km ; Yaowarat Road && 5.36 km ; Wat Saket && 5.95 km ; Khao San Road && 7.02 km ; Asiatique - The Riverfront && 7.09 km ; Wat Pho Temple && 7.24 km ; Wat Phra Kaew && 7.39 km ; Grand Palace && 7.44 km,Sukhumvit
272,10104,The Okura Prestige Bangkok,"Park Ventures Ecoplex, 57 Wireless Road, Wireless, Bangkok, Thailand, 10330",5.0,9.2,Central Embassy && 150 m ; All Seasons Place && 170 m ; Zantino Tailor && 200 m ; ANS International Custom Tailors && 380 m ; Central Plaza Chidlom && 410 m ; Masjid Indonesia && 440 m ; AAA Thai Language Center && 490 m ; Blanc Bespoke Tailors && 510 m ; Shrine of the Goddess Tubtim && 520 m ; Central World && 980 m,Central World && 980 m ; Terminal 21 Shopping Mall && 1.49 km ; Jim Thompson && 2.06 km ; Yaowarat Road && 4.12 km ; Wat Saket && 4.61 km ; Khao San Road && 5.67 km ; Wat Pho Temple && 5.95 km ; Wat Phra Kaew && 6.08 km ; Grand Palace && 6.13 km ; Asiatique - The Riverfront && 6.44 km,Wireless
273,10105,"The Westin Grande Sukhumvit, Bangkok","259 Sukhumvit Road, Sukhumvit, Bangkok, Thailand, 10110",5.0,9.3,Robinson Sukhumvit && 60 m ; MOONRIVER by VJ && 70 m ; Times Sqare && 70 m ; Bangkok Bazaar && 80 m ; Muangboran (Ancient City) && 80 m ; Tanika Tailor && 80 m ; Jesse and Son Custom Tailors && 90 m ; British Custom Tailors && 110 m ; Terminal 21 Shopping Mall && 110 m ; Central World && 2.36 km,Terminal 21 Shopping Mall && 110 m ; Central World && 2.36 km ; Jim Thompson && 2.94 km ; Yaowarat Road && 5.4 km ; Wat Saket && 5.98 km ; Khao San Road && 7.05 km ; Asiatique - The Riverfront && 7.15 km ; Wat Pho Temple && 7.28 km ; Wat Phra Kaew && 7.42 km ; Grand Palace && 7.47 km,Sukhumvit
274,10106,InterContinental Bangkok,"973 Phloen Chit Road, Siam, Bangkok, Thailand, 10330",5.0,9.5,Gaysorn Shopping Center && 40 m ; Amarin Plaza && 50 m ; Absolute Yoga && 70 m ; RJ Uomo && 90 m ; Ratchaprasong Intersection Shrines && 110 m ; Erawan Shrine && 120 m ; Mater Dei School && 210 m ; ZEN Department Store && 230 m ; Royal Maneeya Tower && 240 m ; Central World && 260 m,Central World && 260 m ; Jim Thompson && 1.81 km ; Terminal 21 Shopping Mall && 2.21 km ; Yaowarat Road && 3.46 km ; Wat Saket && 3.89 km ; Khao San Road && 4.95 km ; Wat Pho Temple && 5.26 km ; Wat Phra Kaew && 5.37 km ; Grand Palace && 5.42 km ; Asiatique - The Riverfront && 6.11 km,Siam
275,10107,W Bangkok,"106 North Sathorn Road, Sathorn, Bangkok, Thailand, 10500",5.0,8.6,Bambi Garden-Sathorn && 180 m ; H Gallery && 210 m ; M R Kukrit Pramoj House && 410 m ; M.R. Kukrit's Heritage Home && 500 m ; Wat Kuhasawan && 520 m ; Silom Night Market && 530 m ; Jewelry Trade Center && 540 m ; St. Louis Church && 560 m ; Soi Lalaisap && 650 m ; Ruen-Nuad Massage & Yoga && 650 m,Jim Thompson && 1.06 km ; Central World && 2.89 km ; Yaowarat Road && 2.97 km ; Asiatique - The Riverfront && 3.42 km ; Terminal 21 Shopping Mall && 3.79 km ; Wat Saket && 4.32 km ; Wat Pho Temple && 4.8 km ; Wat Phra Kaew && 5.1 km ; Grand Palace && 5.17 km ; Khao San Road && 5.32 km,Sathorn
276,10109,"The Athénée Hotel, a Luxury Collection Hotel, Bangkok","61 Wireless Road (Witthayu), Wireless, Bangkok, Thailand, 10330",5.0,8.9,All Seasons Place && 30 m ; ANS International Custom Tailors && 230 m ; Zantino Tailor && 250 m ; Central Embassy && 290 m ; Masjid Indonesia && 300 m ; 100 Tonson Gallery && 470 m ; Central Plaza Chidlom && 500 m ; Nana && 560 m ; Nana Square && 560 m ; Central World && 1.04 km,Central World && 1.04 km ; Terminal 21 Shopping Mall && 1.43 km ; Jim Thompson && 1.96 km ; Yaowarat Road && 4.11 km ; Wat Saket && 4.65 km ; Khao San Road && 5.72 km ; Wat Pho Temple && 5.96 km ; Wat Phra Kaew && 6.1 km ; Grand Palace && 6.15 km ; Asiatique - The Riverfront && 6.34 km,Wireless
277,10110,The Peninsula Bangkok,"Siam Chaophraya Holdings, 333 Charoennakorn Road, Bangkok Riverside, Bangkok, Thailand, 10600",5.0,8.8,Oriental Hotel Pier && 300 m ; Assumption Cathedral && 360 m ; World Group && 370 m ; Assumption Convent School && 390 m ; Old Customs House && 420 m ; Sathorn Central Pier && 430 m ; Wat Muang Kae Pier && 430 m ; Thaksin Pier && 440 m ; Suan Plu Temple && 510 m ; Cotton House && 510 m,Yaowarat Road && 1.94 km ; Asiatique - The Riverfront && 2.28 km ; Jim Thompson && 2.57 km ; Wat Pho Temple && 3.25 km ; Wat Saket && 3.45 km ; Wat Phra Kaew && 3.62 km ; Grand Palace && 3.69 km ; Central World && 3.97 km ; Khao San Road && 4.19 km ; Terminal 21 Shopping Mall && 5.58 km,Bangkok Riverside
