,lat,long
Baan2459 Heritage Boutique Hotel,13.738962,100.510679
Pullman Bangkok Hotel G,13.7258512,100.5259325
Millennium Hilton Bangkok,13.728442,100.5095102
The Continent Hotel Bangkok by Compass Hospitality,13.7361953,100.5619664
Royal Orchid Sheraton Hotel & Towers,13.729053,100.513574
The Berkeley Hotel Pratunam,13.7500014,100.5428021
Radisson Blu Plaza Bangkok,13.7349212,100.5637468
Pullman Bangkok King Power,13.75893,100.537434
Cape House Hotel,13.740996,100.543535
Lancaster Bangkok,13.7487355,100.5673498
Hua Chang Heritage Hotel,13.7487888,100.5307151
Hotel Swissôtel Bangkok Ratchada,13.7766233,100.5741524
VIE Hotel Bangkok MGallery By Sofitel,13.7506176,100.5316564
Chatrium Hotel Riverside Bangkok,13.7110483,100.509312
Compass SkyView Hotel Sukhumvit 24,13.7293294,100.5689321
Eastin Grand Hotel Sathorn,13.7187414,100.5219157
Grande Centre Point Ratchadamri,13.7417436,100.5410515
The Landmark Bangkok,13.7412418,100.5538514
Centara Grand at CentralWorld,13.747717,100.538747
U Sathorn Bangkok,13.7187294,100.5463383
Pullman Bangkok Grande Sukhumvit,13.738938,100.562082
akyra Thonglor Bangkok,13.730718,100.581781
The Salil Hotel Sukhumvit 57 - Thonglor,13.7248507,100.5802581
lebua at State Tower,13.7212458,100.517141
Crowne Plaza Bangkok Lumpini Park,13.729777,100.53512
Avani+ Riverside Bangkok Hotel,13.7050102,100.4914324
Hotel Muse Bangkok Langsuan MGallery Collection,13.7402188,100.5435316
Emporium Suites by Chatrium,13.7304806,100.5684461
Wilding Golf Performance Centers - RATCHADAMRI,13.738697,100.541414
Anantara Riverside Bangkok Resort,13.7044605,100.4919712
Sivatel Bangkok,13.7445344,100.5478332
Hansar Hotel Bangkok,13.7402975,100.5409877
137 Pillars Suites & Residences Bangkok,13.737521,100.572373
Bangkok Marriott Hotel The Surawongse,13.727271,100.5222736
Oriental Residence Bangkok,13.7382776,100.5462783
"Mayfair, Bangkok - Marriott Executive Apartments",13.7387028,100.5424401
"Shangri-La Hotel, Bangkok",13.719469,100.5136318
Tower Club at lebua,13.721747,100.5169565
Sofitel Bangkok Sukhumvit,13.7391757,100.5578256
Anantara Siam Bangkok Hotel,13.7409209,100.5402006
SO Sofitel Bangkok,13.7262225,100.5431806
Grand Hyatt Erawan Bangkok,13.7435228,100.5404889
Renaissance Bangkok Ratchaprasong Hotel,13.742293,100.5418338
The Sukhothai Bangkok,13.7230609,100.5408408
COMO Metropolitan Bangkok,13.723418,100.53945
JW Marriott Hotel Bangkok,13.7413436,100.5526755
Banyan Tree Bangkok,13.7237091,100.539713
Bangkok Marriott Hotel Sukhumvit,13.7233482,100.5804666
Conrad Bangkok,13.7384195,100.5481376
"Sheraton Grande Sukhumvit, a Luxury Collection Hotel, Bangkok",13.7375595,100.5590345
The Okura Prestige Bangkok,13.7429457,100.5476514
"The Westin Grande Sukhumvit, Bangkok",13.7380824,100.5594921
InterContinental Bangkok,13.7449914,100.5414575
W Bangkok,13.722029,100.5289069
The Peninsula Bangkok,13.723022,100.511405
Siam Kempinski Hotel Bangkok,13.7484255,100.5347561
The St. Regis Bangkok,13.739923,100.540184
Park Hyatt Bangkok,13.743844,100.5471177
Chakrabongse Villas,13.743679,100.493124
The Siam Hotel,13.781348,100.50574
"Mandarin Oriental, Bangkok",13.7239926,100.5142411
Ploykhumthong Boutique Resort,13.716754,100.7641792
The Wind Holiday,13.6521054,100.615041
Sinsuvarn Airport Suite Hotel,13.7204283,100.7371744
Tubtim Siam Suvarnabhumi Hotel,13.621824,100.762876
The Riche boutique,13.8697497,100.5592655
The MEET Green Apartment,13.843892,100.645537
Paradise Sukhumvit,13.7297173,100.5950683
Viva Residence,13.8445644,100.6636352
Miracle Suvarnabhumi Airport Hotel,13.6768185,100.7255057
Nava Grand,13.9805516,100.6364682
Adriatic Palace Hotel,13.7489938,100.5490422
Sarasinee All Suite Boutique Hotel,13.7211033,100.5064773
Metro Resort Pratunam,13.7521363,100.5354181
K Residence Suvarnabhumi (Kresairport),13.7954668,100.7423584
The Bangkok Airport Link Suite,13.751868,100.545574
Escape @ Sathorn Terrace,13.7185934,100.516386
Aunchaleena Hotel,13.7630846,100.624434
Ratchadamnoen Residence,13.7571705,100.5028289
Bangkok Living Apartment,13.7917591,100.5367909
TK Palace & Convention,13.8922918,100.561805
Grand Inn Come Hotel,13.69,100.72935
Mii Hotel Srinakarin,13.6930217,100.6448872
Villa Baron Hotel,13.9100119,100.5018115
Dheva Residence Suites,13.7447057,100.5842475
Sivalai Place,13.7427624,100.4770174
United Residence,13.736274,100.588814
Tongtara Riverview,13.6990413,100.5000316
Asia Airport Hotel,13.961791,100.622907
Suvarnabhumi Suite Hotel โรงแรม สุวรรณภูมิ สวีท,13.72299,100.774471
At Residence Suvarnabhumi,13.7213096,100.733187
The Color Living,13.624927,100.6299655
Alt Hotel Nana by UHG,13.7350531,100.5521408
Town in Town Hotel,13.773274,100.608351
Yellow Ribbon Hills Executive Mansion,13.7201726,100.5324196
Omni Tower Sukhumvit Nana by Compass Hospitality,13.73754,100.553205
Vic3 Bangkok.,13.7743217,100.5420411
M2 de Bangkok Hotel,13.789487,100.562034
H-Five,13.6232337,100.7644667
Maple Hotel,13.6683746,100.6466513
The Xtreme Hotel,13.752047,100.634255
Cinnamon Residence,13.8409012,100.5622682
Bangkok Palace Hotel,13.752914,100.547398
Ma Hotel,13.725926,100.518076
101 Holiday Suite,13.7856093,100.6301751
Bangkok Centre Hotel,13.7369731,100.516787
Pak Ping Ing Tang Boutique Hotel,13.858884,100.5325674
Montara Serviced Apartment,13.7402821,100.5806789
The Twin Towers Hotel,13.7458435,100.5196246
klapsons The River Residences Bangkok,13.7213307,100.5101254
Eastin Hotel Makkasan Bangkok,13.753204,100.5464653
Chaophya Park Hotel Ratchada,13.7959351,100.5733735
The Royal City Hotel,13.78385,100.472852
Mida Hotel Don Mueang Airport,13.8892083,100.5785948
"Silom Serene, a Boutique Hotel",13.7264781,100.5310059
iSanook Bangkok,13.732499,100.521878
Mido Hotel,13.790581,100.5426874
Trinity Silom Hotel,13.724598,100.5308438
iCheck inn Sukhumvit 19,13.7390538,100.5594304
Le Tada Parkview Hotel & Residence,13.7614116,100.5399842
Theatre Residence,13.7536969,100.4860907
Astera Sathorn Hotel,13.717607,100.516484
Skyy Hotel,13.7464245,100.5516739
Grand Howard Hotel,13.7020315,100.5160195
President Park,13.7211299,100.5654994
Rama Gardens Hotel Bangkok,13.8604596,100.5715867
Admiral Suites Bangkok,13.729056,100.565055
Aspen Suites Hotel Sukhumvit 2 Bangkok by Compass Hospitality,13.7378664,100.55206
The Grand Sathorn,13.7189036,100.517602
Grand China Hotel Bangkok,13.7426971,100.5069981
FuramaXclusive Sukhumvit,13.7461294,100.5513246
D Varee Diva Bally Sukhumvit Hotel,13.728814,100.564062
Hotel Solo Sukhumvit Soi 2,13.737786,100.55203
SSIP,13.7700618,100.5053666
Maleewana Hotel & Resort,13.8073022,100.4492976
Riverfront Residence,13.6720249,100.5434887
The Capital Sukhumvit 30/1,13.7265381,100.5734275
I-Residence Hotel Silom,13.7236158,100.5298276
Citrus Sukhumvit 11 by Compass Hospitality,13.7455968,100.5555377
Asia Hotel Bangkok,13.7513821,100.5311441
Galleria 10 Bangkok Hotel By Compass Hospitality,13.7366862,100.5571626
Prime Hotel Central Station Bangkok,13.7373916,100.5153067
Citrus 13 Bangkok by Compass Hospitality,13.743006,100.557893
Amora NeoLuxe Hotel,13.734022,100.566366
The Royal River Hotel,13.7833745,100.501315
Hotel Siam Heritage,13.7294685,100.5304492
Marvel Hotel Bangkok,13.7297756,100.5647972
Citadines Sukhumvit 8 Bangkok,13.735658,100.5561904
BEST WESTERN PLUS Wanda Grand,13.9038346,100.5308528
Modena by Fraser Bangkok,13.7209754,100.5595746
FuramaXclusive Sathorn,13.7238537,100.5310331
Arize Hotel Sukhumvit,13.7286972,100.570283
Hotel Mermaid Bangkok,13.7345352,100.5652727
Prince Palace Hotel,13.7541543,100.5160293
"Beyond Suite Hotel , โรงแรมบียอนด์ สวีท บางพลัด",13.7954016,100.5067319
Vince Hotel Bangkok Pratunam,13.7543059,100.5356217
Viva Garden Serviced Residence,13.6984534,100.604404
X2 Vibe Bangkok Sukhumvit Hotel โรงแรมครอสทูไวบ์กรุงเทพสุขุมวิท,13.704112,100.599184
Le Siam Hotel,13.7269108,100.5337982
Bangna Pride Hotel and Residence,13.6598157,100.6625611
Royal Benja Hotel,13.7450715,100.5549418
SilQ Bangkok Hotel,13.739714,100.560322
Salil Hotel Sukhumvit 11,13.743214,100.556547
Hotel Royal Bangkok Chinatown,13.740443,100.509906
K Maison Boutique Hotel,13.7587285,100.541231
Mercure Bangkok Makkasan,13.7513442,100.5572696
Kingston Suites,13.7412827,100.5585223
Haven't Met Hotel Silom,13.7241916,100.5294483
The Four Wings Hotel,13.724659,100.569091
Ambassador Hotel Bangkok,13.7418139,100.5568451
Rembrandt Towers Serviced Apartments,13.7320682,100.5633632
GM Service Apartment,13.7290868,100.5643067
Nouvo City Hotel - โรงแรมนูโว ซิตี,13.7626037,100.4992435
Tawana Bangkok,13.729567,100.529934
LUXX Langsuan (Bangkok),13.7360703,100.5424906
Royal President Bangkok,13.741516,100.558547
Best Western Plus At 20 Sukhumvit,13.7320271,100.5640529
BelAire Bangkok,13.744174,100.554605
Bangkok Interplace,13.7534213,100.6223071
Indra Regent Hotel,13.7530429,100.541391
At Ease,13.7263505,100.5404987
Citadines Sukhumvit 23 Bangkok,13.7396256,100.5630906
Citadines Sukhumvit 11 Bangkok,13.7439329,100.5567854
Windsor Suites Hotel Bangkok,13.7332553,100.5637169
Golden Tulip Mandison Suites,13.7293734,100.5637937
Chateau de Bangkok,13.7392039,100.5493031
Ariston Hotel Bangkok,13.7277114,100.5689513
Rent V38,13.831718,100.559206
Grand President Hotel,13.7429308,100.5567797
Novotel Bangkok Fenix Silom,13.723022,100.518481
Zensation The Residence เซนเซชั่น เดอะ เรสซิเด้นซ์,13.71399,100.5277689
Grand Diamond Suites Hotel,13.750505,100.538513
The Silver Palm Rama 9 - Bangkok,13.739788,100.6477151
โรงแรมริชมอนด์,13.8615486,100.5065934
Centre Point Hotel Sukhumvit 10,13.7350087,100.5572648
ปิยะทิพย์ เพลส,13.7341099,100.5746251
Hyatt Place Bangkok Sukhumvit,13.7278266,100.5683069
Baiyoke Sky Hotel,13.7543452,100.5402098
Bandara Suites Silom,13.7258719,100.5382999
Novotel Bangkok Impact,13.9153511,100.5483945
Shanghai Mansion Bangkok,13.7397867,100.5112472
U Sukhumvit Bangkok,13.7452478,100.5586182
39 Boulevard Executive Residence,13.7373942,100.5698562
Legacy Suites Hotel Sukhumvit by Compass Hospitality,13.7349236,100.5654675
GM Suites,13.7466893,100.5536192
Arcadia Residences,13.7406468,100.5500795
S15 Sukhumvit Hotel,13.738765,100.55831
Ad Lib Bangkok,13.7452529,100.5522899
Column Bangkok Hotel,13.7330925,100.5607913
Mercure Bangkok Sukhumvit 11,13.7432155,100.5566996
Aloft Bangkok Sukhumvit 11,13.7443229,100.5565681
Dusit Princess Srinakarin Hotel,13.6971293,100.6478685
Siamese Gioia,13.742971,100.570997
Rongratana Executive Residence,13.7384575,100.5426049
Sala Arun,13.745064,100.490921
Best Western Premier Sukhumvit,13.746725,100.5518
Aurum The River Place,13.7437616,100.4922454
Grand Asoke Residence Sukhumvit,13.7415948,100.5614957
Thonglor 21 Residence by bliston,13.7371076,100.5821946
Hotel Novotel Bangkok Ploenchit Sukhumvit,13.7427154,100.5497883
Jasmine City Hotel,13.7358905,100.5630085
Quad Suites Silom,13.7239928,100.5303858
Centara Watergate Pavillion Hotel Bangkok,13.751408,100.5420722
Amanta Hotel & Residence Ratchada,13.7652201,100.5678925
Mode Sathorn Hotel Bangkok,13.719638,100.521717
Centre Point Sukhumvit Thong Lo,13.731449,100.582095
Courtyard by Marriott Bangkok,13.7409561,100.5417721
Baan Nai,13.7797138,100.5305618
Oakwood Residence Sukhumvit 24 Bangkok,13.7280436,100.5692094
Adelphi Grande Sukhumvit Bangkok,13.7315335,100.572561
Mercure Bangkok Siam,13.746724,100.528938
Grand Mercure Bangkok Fortune,13.7567542,100.5647143
Riva Arun Bangkok,13.7442296,100.491892
Novotel Bangkok Sukhumvit 20,13.7315751,100.5643932
Novotel Bangkok On Siam Square,13.7443075,100.5347275
Siam@Siam Design Hotel Bangkok,13.7470915,100.5270614
"Sukhumvit Park, Bangkok - Marriott Executive Apartments",13.7243978,100.5667285
Amara Bangkok,13.728782,100.52735
GLOW Pratunam,13.7511995,100.5382425
DoubleTree by Hilton Hotel Sukhumvit Bangkok,13.7279688,100.5702162
Holiday Inn Bangkok Sukhumvit,13.732952,100.565457
Adelphi Suites Bangkok,13.738969,100.5557719
Hilton Sukhumvit Bangkok,13.7285635,100.5690568
Arun Residence,13.7447226,100.491354
iChapter Hotel Suvarnabhumi,13.6214144,100.7555005
Riva Surya Bangkok,13.762009,100.493069
Praya Palazzo Boutique Hotel Bangkok,13.766069,100.4935004
Hotel Indigo Bangkok Wireless Road,13.740058,100.547339
sala rattanakosin Bangkok,13.7453303,100.4909169
"Sathorn Vista, Bangkok - Marriott Executive Apartments",13.72313,100.5371
Conrad Bangkok Residences,13.7384232,100.5480862
Ammata Lanta Resort,13.7164321,100.7417841
The Eugenia,13.7410179,100.5936365
"Marriott Executive Apartments Bangkok, Sukhumvit Thonglor",13.7236101,100.5806597
The Narathiwas Hotel & Residence Sathorn Bangkok,13.6995638,100.5372422
Novotel Bangkok Suvarnabhumi Airport,13.6961898,100.751689
AriyasomVilla,13.7479224,100.5516216
Oaks Bangkok Sathorn,13.7169516,100.5325062
Nacorn Hostel,13.76048,100.501458
The Oasis Hotel,13.7797143,100.5810625
Hide Bangkok,13.7064697,100.5963537
Glur Bangkok,13.7194664,100.514173
Yaya Guesthouse,13.726001,100.520891
Matchbox Bangkok Hostel,13.734371,100.56768
Ladda Place,13.782776,100.6252466
ZEN Rooms D-well Residence Don Muang,13.912224,100.58914
Trica Hostel & Cafe,13.7106572,100.6029793
Click Hostel,13.7342448,100.5679427
2Bedtel,13.74143,100.6192233
Baan Khun Nine Hostel Wangdoem,13.7411216,100.483472
Donmuang Airport Guesthouse,13.9127664,100.5544455
PN Home Service,13.7537417,100.7894775
White Home Residence,13.817392,100.6596648
Wild Orchid Villa,13.761983,100.494094
The Canal Hotel,13.8097477,100.7244848
Nest Boutique Resort,13.7274456,100.735609
Grand Pinnacle Suvarnabhum,13.722313,100.771611
Refill Now,13.7349362,100.6007737
Airy Resort,13.7271577,100.7356363
Sandy Servised apartment,13.872038,100.556488
Sleepbox Sukhumvit 22,13.7257284,100.5645795
Sleep Hotel Bangkok โรงแรมสลีพ แบงค็อก,13.7812624,100.5917825
SP Residence,13.7208029,100.7974017
Pawana Mansion,13.801965,100.5845766
Lub d Bangkok Siam Hostel,13.7468712,100.52869
Siam Place Airport Suvaranbhumi สยามเพลส แอร์พอร์ต,13.720017,100.716609
Floral Shire Resort (Suvarnabhumi Airport),13.7171456,100.7650273
14 Mansion,13.6822607,100.4750096
Casa Narinya,13.7091311,100.733439
Leelawadee Modern Resort,13.7797359,100.5712012
48 Ville,13.8844914,100.6064663
Check-in My Hostel,13.750282,100.528173
New Road Guest House,13.7257229,100.5159855
Tuscany Avenue,13.820428,100.56892
Great Residence Hotel,13.716845,100.775874
Metro Pratunam Boutique Hotel,13.750614,100.546617
Thongtha RESIDENCE,13.7040435,100.7345313
Aspira Sukhumvit,13.7410666,100.555742
Bunny Burrow Hostel,13.7320444,100.5145279
Tara Lake,13.7873795,100.7046123
Warm White Hostel,13.7616364,100.4976296
NRC Residence,13.722991,100.7159015
(Dwella Suvarnabhumi Hotel),13.7116186,100.7349159
Sri Krungthep Hotel,13.7539215,100.5023869
Baan Mi-na,13.833132,100.559694
d HOSTEL BANGKOK,13.754682,100.497788
The Ivory Bangkok Suvarnabhumi,13.722027,100.729919
Convenient Resort Bangkok Suvarnabhumi Airport,13.7192017,100.7561829
Nature Boutique Hotel,13.8321948,100.5594219
Thai Cozy House Hotel,13.7601476,100.498535
Gems Park,13.8833289,100.6001209
AREA 69 Don Muang Airport Maison,13.8883621,100.602127
Thong Ta Resort Suvarnabhumi Airport Hotel,13.7197952,100.7759116
Panini Residence,13.7204913,100.7565836
Bed Box Khaosan Hostel,13.7606498,100.4989079
Pannapat Place พรรณภัทร อพาร์ทเมนท์,13.8318688,100.5669839
Sunny Residence,13.7269252,100.735635
Regent Suvarnabhumi Hotel,13.720345,100.730267
Tara Garden,13.7949539,100.7087235
The Journey Hotel Laksi - โรงแรม เดอะ เจอร์นีย์ โฮเทล หลักสี่,13.870689,100.558714
The XP,13.7211992,100.590533
Sweet Loft,13.9293113,100.584297
Khaosan Holiday,13.758642,100.4972
Suphan Lake Hometel,13.7621111,100.731473
Sleeplab Hostel,13.7562175,100.5336695
Very Thai House Hotel,13.7622615,100.4971976
V Varee Bangkok,13.7651683,100.4959871
Justbeds,13.7254855,100.5181355
VR Hostel Saphankwai,13.7948136,100.5493973
The Sleepless Apartment,13.8185699,100.5112291
Business Inn At Sukhumvit 11 By Hjz,13.7403551,100.5565713
13 Coins Airport Hotel Ngam Wong Wan (Domestic),13.8508812,100.5352439
The Plubpla Serviced Apartment,13.772501,100.628287
